In man-in-box?,Name,Preferred ID for nerve name,Superclass,Origin/Central connection/Parent nerve,Preferred ID for Origin/Central connection/Parent nerve,efferent/afferent for column D ,Anatomical landmarks along nerve (from origin to destination),Preferred ID for landmarks,Destination(s),Preferred ID (of destination),Extra details,Detailed relationship to landmarks,Notes,References
,Olfactory nerve (CN I),UBERON:0001579,,"* (Olfactory bulb)
* (Anterior perforated substance)
* (Piriform cortex)","* UBERON:0002264
* UBERON:0018141
* UBERON:0004725",,"* Exits skull at (Cribriform plate), foramina of cribriform plate
* (Nasal mucosa)","* UBERON:0004546
* UBERON:0005384","* (Olfactory receptor cell) 
* (Nasal mucosa)","* FMA:67860 
* UBERON:0005384",Olfactory receptors in nasal mucosa send fibres to the olfactory bulb. Second order neurones in olfactory bulb send fibres to the primary olfactory cortex in the piriform cortex including the uncus near temporal lobe.,"Olfaction, projects directly to cerebral cortex (ie not through thalamus). From olfactory epithelium in nasal cavity to cortical and subcortical areas of frontal and temporal lobes",,"Gray's Anatomy 41st ed. (Table 16.1), p 310"
Yes,Right olfactory nerve,FMA:52592,UBERON:0001579,,,,,,,,,,,
Yes,Left olfactory nerve,FMA:52593,UBERON:0001579,,,,,,,,,,,
,,,,* (Olfactory bulb),* UBERON:0002264,afferent,,,Piriform cortex,UBERON: 00004725,,,,
,Optic nerve (CN II),UBERON:0000941,,"* (Lateral geniculate nucleus) of thalamus 
* (Pretectal area) of midbrain","* UBERON:0001926
* UBERON:0001944",afferent,* Exits skull at (Optic canal),* UBERON:0005745,* (Retina ganglion cell layer),* UBERON:0001792,Lateral geniculate nuclei (left and right) are the areas of the thalamus where the optic nerves end up after crossing at the optic chiasm. They then pass to the pretectal area of the midbrain and the superior colliculus in the roof of the midbrain where visual information is processed,Medial fibres decussate in optic chiasma. Detailed description of its course in Gray's Anatomy p 678,? Strictly part of central nervous system,"Gray's Anatomy (Table 16.1), p 678"
Yes,Right optic nerve,FMA:50875,UBERON:0000941,,,,,,Retina of both eyes,,,,,
Yes,Left optic nerve,FMA:50878,UBERON:0000941,,,,,,Retina of both eyes,,,,,
,Oculomotor nerve (CN III),UBERON:0001643,,"* (Edinger-Westphal nucleus)
* (Pretectal area)
* (Oculomotor nucleus)
* (Medial longitudinal fasciculus)","* UBERON:0002141
* UBERON:0001944
* UBERON:0001715
* UBERON:0002309",,* Exits skull at (Superior orbital fissure),* UBERON:0005480,"* (Orbit) 
* (Sphincter pupillae) 
* (Ciliary muscle) 
* (Ciliary ganglion) 
* (Dilator pupillae)","* UBERON:0001697
* UBERON:0001607
* UBERON:0001605
* UBERON:0002058
* UBERON:0001608","Oculomotor nerve starts in midbrain superior colliculus as Edinger-Westphal nucleus and oculomotor nucleus.
Contains sympathetic fibres from internal carotid artery plexus, predominantly parasympathetic fibres from Edinger-Westphal nucleus.",,Are we ignoring the fibres that go to control the muscles of the eye and only mapping the afferent pathway?,"Gray's Anatomy (Table 16.1), p 677"
Yes,Right oculomotor nerve,FMA:50879,UBERON:0001643,,,,,,,,,,,
Yes,Left oculomotor nerve,FMA:50880,UBERON:0001643,,,,,,,,,,,
